0,1,2,3,4,5,6
0.04,0,0,32,1.75,393,+
11,0,10561,60.58,16.5,21,+
1.75,0,837,40.83,10,29,+
1,0,400,19.33,9.5,60,+
0.04,0,11177,32.33,0.54,440,+
9,0,639,36.67,3.25,102,+
1.5,0,0,37.5,1.125,431,+
0.25,0,0,25.08,2.54,370,+
15,0,0,41.33,0,0,+
8,0,2028,56,12.5,24,+
8.5,0,0,49.83,13.585,0,+
1.335,0,0,22.67,10.5,100,+
0.375,0,1065,27,1.5,260,+
3,0,0,25,12.5,20,+
1.415,0,150,26.08,8.665,160,+
1.21,4,540,18.42,9.25,60,+
1.96,14,158,20.17,8.17,60,+
15,20,15000,47.67,0.29,0,+
0.5,4,0,21.25,2.335,80,+
0.165,3,6,20.67,3,100,+
5.5,7,3000,57.08,19.5,0,+
2.585,7,3257,22.42,5.665,129,+
12.5,9,1655,48.75,8.5,181,+
3.5,1,500,40,6.5,0,+
5,7,3065,40.58,5,0,+
2.5,5,1430,28.67,1.04,300,+
1.625,2,0,33.08,4.625,0,+
3,0,0,21.33,10.5,0,+
5.125,0,0,42,0.205,400,+
2.5,0,600,41.75,0.96,510,+
3.085,6,0,22.67,1.585,80,+
8.5,7,0,34.5,4.04,195,+
1.5,8,7,28.25,5.04,144,+
3.165,3,0,33.17,3.165,380,+
15.5,12,790,48.17,7.625,0,+
2,3,560,27.58,2.04,370,+
0.04,9,396,22.58,10.04,60,+
1.25,1,678,24.08,0.5,0,+
2.25,0,300,41.33,1,0,+
2.25,6,600,24.83,2.75,184.014771,+
0.71,2,0,20.75,10.25,49,+
0.085,1,1187,36.33,2.125,50,+
14,8,6590,35.42,12,0,+
0,0,0,71.58,0,184.014771,+
5.665,6,168,28.67,9.335,381,+
4.5,7,1270,35.17,2.5,150,+
6.5,16,1210,39.5,4.25,117,+
10,14,0,39.33,5.875,399,+
5.5,0,0,24.33,6.625,100,+
18,15,1000,60.08,14.5,0,+
3.5,9,742,23.08,11.5,56,+
5.25,1,0,26.67,2.71,211,+
3.5,0,0,48.17,3.5,230,+
7,8,0,41.17,4.04,320,+
5,5,8851,55.92,11.5,0,+
8.665,5,0,53.92,9.625,0,+
1,4,500,18.92,9.25,80,+
2.29,3,0,50.08,12.54,156,+
20,7,0,65.42,11,22,+
1.375,0,0,17.58,9,0,+
0.085,0,0,18.83,9.54,100,+
0.125,0,0,37.75,5.5,228,+
0.25,0,0,23.25,4,160,+
0.5,0,0,18.08,5.5,80,+
2.46,0,0,22.5,8.46,164,+
2,2,0,19.67,0.375,80,+
0.665,0,0,22.08,11,100,+
0.625,7,7059,25.17,3.5,0,+
13.875,2,1704,47.42,3,519,+
4.5,4,857,33.5,1.75,253,+
5.75,0,500,27.67,13.75,487,+
10,13,6700,58.42,21,0,+
2.085,5,2503,20.67,1.835,220,+
0,0,0,26.17,0.25,0,+
1.415,1,9800,21.33,7.5,80,+
4.58,0,0,42.83,4.625,0,+
2.5,6,196,38.17,10.125,520,+
2.5,0,0,20.5,10,40,+
1.75,3,14,48.25,25.085,120,+
11,0,0,28.33,5,70,+
2.71,5,26726,18.75,7.5,184.014771,+
1.5,2,300,18.5,2,120,+
2.04,1,18027,33.17,3.04,180,+
14,1,2000,45,8.5,88,+
0.29,11,99,19.67,0.21,80,+
4.75,2,444,24.5,12.75,73,+
0.29,6,0,21.83,11,121,+
20,11,1200,40.25,21.5,0,+
5,6,0,41.42,5,470,+
1,11,3000,17.83,11,0,+
0.46,1,0,23.17,11.125,100,+
0.25,0,2010,31.56817109,0.625,380,-
1.085,0,13,18.17,10.25,320,-
2,0,0,20,11.045,136,-
0.5,0,0,20,0,144,-
0.04,0,1000,20.75,9.54,200,-
0.165,0,0,24.5,1.75,132,-
5.75,0,0,32.75,2.335,292,-
0,0,0,52.17,0,0,-
0.335,0,120,48.17,1.335,0,-
0,0,32,20.42,10.5,154,-
0,0,0,50.75,0.585,145,-
0.04,0,722,17.08,0.085,140,-
0,0,0,18.33,1.21,100,-
1.25,0,0,32,6,272,-
0.125,0,0,59.67,1.54,260,+
0.21,0,40,18,0.165,200,+
0,0,0,37.58,0,184.014771,+
1.25,0,0,32.33,2.5,280,-
0.04,0,0,18.08,6.75,140,-
0.125,0,0,38.25,10.125,160,-
2.25,0,0,30.67,2.5,340,-
0.54,0,0,18.58,5.71,120,-
0.29,0,484,19.17,5.415,80,-
0.165,0,0,18.17,10,340,-
0,0,0,24.58,13.5,184.014771,-
0.085,0,0,16.25,0.835,200,-
0.25,0,204,21.17,0.875,280,-
0.125,0,1,23.92,0.585,240,-
0.25,0,0,17.67,4.46,80,-
0.25,1,98,16.5,1.25,108,-
0.125,2,5552,23.25,12.625,0,-
0.165,1,1,17.58,10,120,-
0,2,105,31.56817109,1.5,200,-
0.29,1,2803,29.5,0.58,340,-
0.165,1,1,18.83,0.415,200,-
0,0,0,21.75,1.75,160,-
0.5,0,0,23,0.75,320,-
1,1,1,18.25,10,120,-
0.165,1,444,25.42,0.54,272,-
0.125,2,1,35.75,2.415,220,-
0,1,126,16.08,0.335,160,-
3.04,2,4,31.92,3.125,200,-
4,1,6,69.17,9,70,-
1.75,2,0,32.92,2.5,720,-
0.665,1,21,16.33,2.75,80,-
3.335,2,173,22.17,12.125,180,-
6.5,1,10,57.58,2,0,-
0.25,0,0,18.25,0.165,280,-
0.5,0,0,23.42,1,280,-
0.085,0,0,15.92,2.875,120,-
1.5,0,1,24.75,13.665,280,-
0,0,0,48.75,26.335,0,-
4.5,0,25,23.5,2.75,160,-
0.415,0,0,18.58,10.29,80,-
0.25,0,0,27.75,1.29,140,-
0,0,20,31.75,3,160,-
1,0,6,24.83,4.5,360,-
2.335,0,6,19,1.75,112,-
0.125,0,1,16.33,0.21,200,-
0.415,0,42,18.58,10,80,-
0.25,0,0,16.25,0,60,-
0.5,0,0,23,0.75,320,-
0.25,0,204,21.17,0.25,280,-
0,0,100000,17.5,22,450,+
0,0,1,19.17,0,500,+
1.5,0,113,36.75,0.125,232,+
1.5,0,8,21.25,1.5,150,+
10,0,0,18.08,0.375,300,+
0.375,0,44,33.67,0.375,300,+
0.25,11,2732,48.58,0.205,380,+
1.165,0,0,33.67,1.25,120,-
1,0,13,29.5,1.085,280,-
0.04,0,179,30.17,1.085,170,-
0.5,0,0,40.83,3.5,1160,-
3,0,0,34.83,2.5,200,-
0.085,0,0,31.56817109,4,411,-
0,0,0,20.42,0,184.014771,-
2.5,0,2,33.25,2.5,0,-
1,0,16,34.08,2.5,460,-
1,0,1062,25.25,12.5,180,-
0.5,0,0,34.75,2.5,348,-
0.165,0,251,27.67,0.75,220,-
1,0,228,47.33,6.5,0,-
0.5,0,0,34.83,1.25,160,-
2,0,0,33.25,3,180,-
0.75,0,67,28,3,300,-
3,0,0,39.08,4,480,-
0.04,0,100,42.75,4.085,108,-
0.5,0,4000,26.92,2.25,640,-
0,0,0,33.75,2.75,180,-
0.5,0,2,38.92,1.75,300,-
0,0,12,62.75,7,0,-
0.25,0,122,32.25,1.5,372,-
2.5,0,1210,26.75,4.5,200,-
0.585,3,0,63.33,0.54,180,-
2.25,1,3,27.83,1.5,100,-
0,0,1,26.17,2,276,-
0,0,0,22.17,0.585,100,-
1.5,0,4000,22.5,11.5,0,-
0.585,0,0,30.75,1.585,0,-
0.25,0,0,36.67,2,221,-
1,2,1,16,0.165,320,-
0.165,0,0,41.17,1.335,168,-
0.04,0,0,19.5,0.165,380,-
0.165,0,0,32.42,3,120,-
0,0,0,36.75,4.71,160,-
5.5,0,0,30.25,5.5,100,-
0.085,0,4208,23.08,2.5,100,-
0,0,0,26.83,0.54,100,-
0.29,0,0,16.92,0.335,200,-
0.165,2,1300,24.42,2,320,-
13.875,1,112,42.83,1.25,352,-
0.165,0,1000,22.75,6.165,220,-
0.165,0,0,39.42,1.71,400,-
3,0,16,23.58,11.5,20,-
0.75,0,2,21.42,0.75,132,-
7,0,0,33,2.5,280,-
0,0,1110,26.33,13,140,-
1,0,0,45,4.585,240,-
0.125,0,0,26.25,1.54,100,-
0.04,0,1004,28.17,0.585,260,-
1,0,0,20.83,0.5,260,-
0.125,0,286,28.67,14.5,0,-
2,0,0,20.67,0.835,240,-
0.125,0,4500,34.42,1.335,440,-
4,0,0,33.58,0.25,420,-
2.25,0,0,43.17,5,141,-
0.165,0,0,22.67,7,160,-
4.5,0,456,24.33,2.5,200,-
5,0,4,56.83,4.25,0,-
1.585,0,1212,22.08,11.46,100,-
1.5,0,0,34,5.5,60,-
0.54,0,67,22.58,1.5,120,-
0.5,0,0,21.17,0,0,-
0,0,0,26.67,14.585,178,-
0.085,0,0,22.92,0.17,0,-
1,0,0,15.17,7,600,-
0.21,0,0,39.92,5,550,-
0.25,0,0,27.42,12.5,720,-
1,0,1,24.75,0.54,120,-
0.25,0,195,41.17,1.25,0,-
0.54,0,0,33.08,1.625,0,-
0.04,0,1,29.83,2.04,128,-
0.125,0,87,23.58,0.585,120,-
1.25,0,17,26.17,12.5,0,-
0.085,0,0,31,2.085,300,-
0.29,0,184,20.75,5.085,140,-
0.29,0,140,28.92,0.375,220,-
3.085,0,0,51.92,6.5,73,-
0.75,0,0,22.67,0.335,160,-
1.085,0,0,34,5.085,480,-
0,0,0,69.5,6,0,-
0.165,2,18,40.33,8.125,184.014771,-
1,1,2,19.58,0.665,2000,-
0.085,1,6,16,3.125,0,-
0.335,4,8,17.08,0.25,160,-
0,5,146,31.25,2.835,176,-
1.25,1,22,25.17,3,0,-
0.085,0,0,22.67,0.79,144,-
0,0,0,40.58,1.5,300,-
0.125,0,55,22.25,0.46,280,-
3.25,0,0,22.25,1.25,280,-
0.125,0,70,22.5,0.125,200,-
0.54,0,1,23.58,1.79,136,-
0.375,2,500,38.42,0.705,225,-
0,0,60,26.58,2.54,180,-
1,0,0,35,2.5,210,-
1.5,0,7,20.42,1.085,108,-
1.75,0,0,29.42,1.25,200,-
1.165,0,0,26.17,0.835,100,-
1.5,0,0,33.67,2.165,120,-
0.25,0,0,24.58,1.25,110,-
0.25,0,50,27.67,2.04,180,-
0.04,0,5,37.5,0.835,120,-
0.29,0,3,49.17,2.29,200,-
0.085,0,0,33.58,0.335,180,-
1.5,0,4,51.83,3,180,-
0.165,0,1058,22.92,3.165,160,-
0.085,0,0,21.83,1.54,356,-
0.5,0,0,25.25,1,200,-
2.415,0,0,58.58,2.71,320,-
0,4,1,19,0,45,-
0,3,769,19.58,0.585,350,-
0,0,27,53.33,0.165,62,-
0,1,300,27.17,1.25,92,-
0.375,2,3,25.92,0.875,174,-
1,11,0,23.08,0,0,-
0,2,1,39.58,5,17,-
0.125,0,0,30.58,2.71,80,-
0.04,0,40,17.25,3,160,-
0,0,0,17.67,0,86,-
0,0,5200,31.56817109,11.25,184.014771,-
0.165,0,0,16.5,0.125,132,-
0,0,1,27.33,1.665,340,-
0,1,19,31.25,1.125,96,-
0.5,0,0,20,7,0,-
7,0,1,31.56817109,3,0,-
1.5,0,316,39.5,1.625,0,-
3.5,0,50,36.5,4.25,454,-
0.25,0,0,29.75,0.665,300,-
3.75,0,350,52.42,1.5,0,-
0.085,0,3552,36.17,18.125,320,-
0,0,0,34.58,0,184.014771,-
0.04,0,0,29.67,0.75,240,-
5,0,687,36.17,5.5,210,-
1.5,0,0,25.67,0.29,160,-
0,0,0,24.5,2.415,120,-
0.085,4,1950,24.08,0.875,254,-
0.125,0,0,21.92,0.5,360,-
0,10,18,36.58,0.29,200,-
0,1,53,23,1.835,200,-
2.79,1,10,27.58,3,280,-
2.5,2,41,31.08,3.085,160,-
0.04,3,33,30.42,1.375,0,-
0.75,0,0,22.08,2.335,180,-
0.415,0,0,16.33,4.085,120,-
0.085,0,5,21.92,11.665,320,-
0.04,0,100,21.08,4.125,140,-
0.125,0,100,17.42,6.5,60,-
1,0,1000,19.17,4,360,-
0.125,0,44,20.67,0.415,0,-
0.75,0,0,26.75,2,80,-
0.085,0,5,23.58,0.835,220,-
10,0,0,39.17,2.5,200,-
0.415,0,0,22.75,11.5,0,-
0.085,0,0,26.5,2.71,80,-
0.165,6,35,16.92,0.5,240,-
0.415,1,80,23.5,3.165,280,-
1.75,10,10,17.33,9.5,0,-
0.04,2,6,23.75,0.415,128,-
1.165,0,0,34.67,1.08,28,-
0.04,2,351,74.83,19,0,-
0.085,0,2100,28.17,0.125,216,-
0.04,0,475,24.5,13.335,120,-
0,0,1,18.83,3.54,180,-
0.125,0,0,45.33,1,263,-
2.75,1,892,47.25,0.75,333,+
4.625,2,2000,24.17,0.875,520,+
6.5,14,4607,39.25,9.5,240,+
6,0,0,20.5,11.835,340,+
3,0,0,18.83,4.415,240,+
1.5,0,2206,19.17,9.5,120,+
1.04,0,5860,25,0.875,160,+
1.665,3,28,20.17,9.25,40,+
1.46,5,0,25.75,0.5,312,+
1.625,3,1391,20.42,7,200,+
5,3,2279,31.56817109,4,290,+
3.5,10,0,39,5,0,+
0,1,100,64.08,0.165,232,+
4.75,2,7,28.25,5.125,420,+
1.085,1,0,28.75,3.75,371,+
7,16,5000,31.33,19.5,0,+
0.75,2,591,18.92,9,88,+
1.835,19,500,24.75,3,0,+
2,1,19,30.67,12,220,+
2.25,1,300,21,4.79,80,+
1.75,2,1000,13.75,4,120,+
0,0,960,46,4,100,+
2.5,0,0,44.33,0,0,+
0,0,0,20.25,9.96,0,+
2.585,0,0,22.67,2.54,0,+
6.5,0,0,31.56817109,10.5,0,+
4,4,99,60.92,5,0,+
1.75,5,690,16.08,0.75,352,+
0.585,4,0,28.17,0.375,80,+
0.125,5,0,39.17,1.71,480,+
1.5,1,234,20.42,7.5,160,+
2.25,5,500,30,5.29,99,+
1.29,1,800,22.83,3,260,+
1.75,10,990,22.5,8.5,80,-
2.415,0,0,28.58,1.665,440,-
2.5,0,0,45.17,1.5,140,-
0.21,0,0,41.58,1.75,160,-
1,0,2197,57.08,0.335,252,-
6.75,3,50,55.75,7.08,100,-
0.21,1,90,43.25,25.21,760,-
2.75,0,1,25.33,2.085,360,-
1.75,0,0,24.58,0.67,400,-
0.75,0,0,43.17,2.25,560,-
0,0,1,40.92,0.835,130,-
7.5,0,0,31.83,2.5,523,-
0,0,0,33.92,1.585,320,-
0,0,0,24.92,1.25,80,-
3.75,0,0,35.25,3.165,680,-
0.25,0,0,34.25,1.75,163,-
0.54,0,340,80.25,5.5,0,-
2,0,20,19.42,1.5,100,-
1,0,200,42.75,3,0,-
0.835,0,0,19.67,10,140,-
1.165,0,0,36.33,3.79,200,-
0.5,10,28,30.08,1.04,132,-
1.5,0,0,44.25,11,0,-
2.625,6,347,23.58,0.46,208,-
1.875,6,327,23.92,1.5,200,+
0.75,7,4071,33.17,1,340,+
16,0,0,48.33,12,110,+
12.75,1,109,76.75,22.29,0,+
0,11,1249,51.33,10,0,+
5.375,9,134,34.75,15,0,+
4,14,1344,38.58,3.335,383,+
0.75,4,321,22.42,11.25,0,+
0.21,6,948,41.92,0.42,220,+
7.5,2,0,29.58,4.5,330,+
1.085,16,2079,32.17,1.46,120,+
0.04,0,3000,51.42,0.04,0,+
2.29,7,2384,22.83,2.29,140,+
3.5,6,458,25,12.33,400,+
1.25,0,5298,26.75,1.125,0,+
1.415,0,200,23.33,1.5,422,+
1.585,0,0,24.42,12.335,120,+
12.75,0,0,42.17,5.04,92,+
0.04,0,0,20.83,3,100,+
2.125,11,284,23.08,11.5,290,+
0.875,0,0,25.17,2.875,360,+
0.375,8,162,43.08,0.375,300,+
0.75,4,1583,35.75,0.915,0,+
1.75,5,58,59.5,2.75,60,+
1.085,8,1,21,3,160,+
0.04,1,59,21.92,0.54,840,+
0,11,1400,65.17,14,0,+
1,4,1465,20.33,10,50,+
3.25,1,8000,32.25,0.165,432,+
1.75,11,540,30.17,0.5,32,+
1,3,0,25.17,6,0,+
1.5,10,4700,39.17,1.625,186,+
1.29,5,1097,39.08,6,108,+
1.335,8,3290,31.67,0.83,303,+
0.04,1,0,41,0.04,560,+
0.125,0,0,48.5,4.25,225,+
5.25,0,0,32.67,9,154,+
0,0,13212,28.08,15,0,+
0,0,0,73.42,17.75,0,+
17.5,9,1000,64.08,20,0,+
8.5,9,0,51.58,15,0,+
1,5,5777,26.67,1.75,160,+
0.29,7,5124,25.33,0.58,96,+
3.125,8,1200,30.17,6.5,330,+
4.25,3,150,27,0.75,312,+
0,0,0,23.17,0,184.014771,+
0.085,0,6,34.17,5.25,290,+
0.085,0,0,38.67,0.21,280,+
0.25,0,23,25.75,0.75,349,+
2.375,8,4159,46.08,3,396,+
2.5,3,918,21.5,6,80,+
1,1,768,20.08,0.125,240,+
2,11,3000,20.5,2.415,200,+
0.54,4,500,29.5,0.46,380,+
0,0,1,42.25,1.75,150,-
0.25,0,0,29.83,1.25,224,-
0.125,0,0,20.08,0.25,200,-
0.085,0,0,23.42,0.585,180,-
1.25,0,0,29.58,1.75,280,-
0.04,0,0,16.17,0.04,0,+
0.5,0,0,32.33,3.5,232,-
4.25,0,0,31.56817109,0.04,460,-
0.085,0,0,47.83,4.165,520,-
0.125,0,4,20,1.25,140,-
5.085,2,1,27.58,3.25,369,-
0.29,1,283,22,0.79,420,-
0.585,2,7,19.33,10.915,200,-
0.125,0,0,38.33,4.415,160,-
0.25,2,108,29.42,1.25,400,-
1.585,1,9,22.67,0.75,400,-
0,2,1,32.25,14,160,-
2,1,68,29.58,4.75,460,-
0.125,0,375,18.42,10.415,120,-
0.125,0,10,22.17,2.25,160,-
2.25,0,0,22.67,0.165,0,+
0,0,0,25.58,0,184.014771,+
0.665,0,1,18.83,0,160,-
0.665,0,0,21.58,0.79,160,-
2.085,0,0,23.75,12,80,-
0.165,0,0,22,7.835,184.014771,-
0,0,1000,36.08,2.54,0,-
0.5,0,0,29.25,13,228,-
1.665,0,5,19.58,0.665,220,-
0.25,0,809,22.92,1.25,120,-
0.125,1,108,27.25,0.29,272,-
0,0,0,38.75,1.5,76,-
0,0,0,32.42,2.165,120,-
0.25,1,4,23.75,0.71,240,-
0.96,2,587,18.17,2.46,160,-
0.5,0,0,40.92,0.5,130,-
0.79,0,350,19.5,9.585,80,-
0.25,0,0,28.58,3.625,100,-
1.5,0,0,35.58,0.75,231,-
2.5,0,200,34.17,2.75,232,-
3.5,0,141,33.17,2.25,200,-
3.5,0,0,31.58,0.75,320,-
3,0,0,52.5,7,0,-
0.29,0,2,36.17,0.42,309,-
0.165,0,501,37.33,2.665,0,-
0.165,0,351,20.83,8.5,0,-
0.25,0,0,24.08,9,0,-
3.5,0,0,25.58,0.335,340,-
0,6,200,35.17,3.75,0,-
1,0,2,48.08,3.75,100,-
0.125,1,160,15.83,7.625,0,-
0.335,0,0,22.5,0.415,144,-
0.5,0,68,21.5,11.5,100,-
0.415,1,11,23.58,0.83,200,-
0,0,0,21.08,5,0,-
2.29,1,21,25.67,3.25,416,-
0.25,0,390,38.92,1.665,0,-
1,0,18,15.75,0.375,120,-
0.25,1,154,28.58,3.75,40,-
0.085,0,0,22.25,9,0,-
0.165,0,0,29.83,3.5,216,-
0.875,0,0,23.5,1.5,160,-
1.5,0,0,32.08,4,120,-
0.04,0,0,31.08,1.5,160,-
0.04,0,0,31.83,0.04,0,-
0.25,0,0,21.75,11.75,180,-
1.75,1,5,17.92,0.54,80,-
0.085,0,0,30.33,0.5,252,-
1.5,0,1,51.83,2.04,120,-
5.5,0,150,47.17,5.835,465,-
0.5,0,2,25.83,12.835,0,-
0.5,0,117,50.25,0.835,240,-
2,0,17,29.5,2,256,-
0.21,0,246,37.33,2.5,260,-
0.665,0,237,41.58,1.04,240,-
0.085,12,3,30.58,10.665,129,-
0.04,1,1,19.42,7.25,100,-
0,0,50,17.92,10.21,0,-
0,0,0,20.08,1.25,0,-
0.29,0,364,19.5,0.29,280,-
3,0,537,27.83,1,176,-
0.335,0,2,17.08,3.29,140,-
0.585,0,3,36.42,0.75,240,-
3.5,0,0,40.58,3.29,400,-
1.25,0,0,21.08,10.085,260,-
2,2,394,22.67,0.75,200,-
2,1,1,25.25,13.5,200,-
0.04,0,750,17.92,0.205,280,-
8.29,0,0,35,3.375,0,-
